BTC-ETH
timestamp,bid5,bid4,bid3,bid2,bid1,ask1,ask2,ask3,ask4,ask5,bidQty5,bidQty4,bidQty3,bidQty2,bidQty1,askQty1,askQty2,askQty3,askQty4,askQty5
2018/11/16_22:21:00,0.031334,0.031339,0.031352,0.031362,0.031369,0.031378,0.031379,0.031382,0.031386,0.031387,6.674,0.035,1.0,4.227,0.982,6.067,0.637,1.417,7.408,0.053
2018/11/16_22:21:30,0.031351,0.031352,0.03137,0.031371,0.031372,0.031377,0.031384,0.031385,0.031397,0.0314,1.721,1.0,3.631,0.628,1.035,8.847,1.692,10.0,4.0,0.043
2018/11/16_22:22:00,0.031352,0.031363,0.031372,0.031373,0.031374,0.031384,0.031385,0.0314,0.031406,0.031408,1.0,4.909,11.564,1.07,2.257,2.42,10.0,0.043,0.07,0.035
2018/11/16_22:22:30,0.031352,0.031353,0.03137,0.031372,0.031375,0.031384,0.031385,0.03139,0.0314,0.031406,1.0,6.501,3.749,6.965,7.344,1.619,9.815,1.145,0.043,0.07
2018/11/16_22:23:00,0.031352,0.031353,0.03137,0.031371,0.031377,0.031385,0.03139,0.0314,0.031406,0.031408,1.0,6.501,3.169,2.485,2.301,9.313,1.145,0.043,0.07,0.035
2018/11/16_22:23:30,0.031339,0.031352,0.031354,0.03137,0.031371,0.03138,0.031381,0.031385,0.03139,0.0314,0.035,1.0,6.501,3.169,2.31,2.223,5.8,9.313,1.145,0.043
2018/11/16_22:24:00,0.03134,0.031352,0.031356,0.031358,0.031359,0.031382,0.031383,0.031385,0.03139,0.0314,12.8,5.036,57.0,10.0,2.485,5.088,1.922,9.313,2.867,0.043
2018/11/16_22:24:30,0.031366,0.031368,0.031369,0.03137,0.031371,0.03138,0.031385,0.03139,0.031395,0.0314,10.0,9.309,35.0,1.779,2.485,1.022,9.313,1.145,1.721,0.043
2018/11/16_22:25:00,0.031372,0.03138,0.031382,0.031383,0.031385,0.031389,0.03139,0.0314,0.031406,0.031408,10.0,2.484,13.0,9.025,0.378,2.485,1.145,0.043,0.07,0.035
2018/11/16_22:25:30,0.031378,0.031379,0.03138,0.031384,0.031386,0.031395,0.031396,0.0314,0.031406,0.031408,10.0,1.0,10.0,0.774,7.65,7.079,7.047,0.043,0.07,0.035
2018/11/16_22:26:00,0.031339,0.03134,0.031384,0.031386,0.031387,0.031405,0.031406,0.031407,0.031408,0.03141,0.035,15.927,1.175,0.106,2.483,5.821,0.35,4.0,12.519,1.46
2018/11/16_22:26:30,0.031337,0.031339,0.031368,0.03137,0.031371,0.031383,0.031384,0.031385,0.031386,0.031392,3.878,0.035,10.0,20.0,4.97,1.295,1.729,8.403,0.075,30.135
2018/11/16_22:27:00,0.031323,0.031324,0.031331,0.031339,0.031368,0.031375,0.031403,0.031404,0.031406,0.03141,0.366,2.054,15.933,0.035,10.0,17.764,2.0,3.065,1.721,1.46
2018/11/16_22:27:30,0.031339,0.031341,0.031346,0.031357,0.031358,0.031374,0.031375,0.031399,0.031403,0.031404,0.035,13.508,3.593,33.613,10.0,11.229,19.302,1.721,23.515,3.065
2018/11/16_22:28:00,0.031339,0.031358,0.03136,0.03137,0.031371,0.031374,0.031375,0.031399,0.031404,0.03141,0.035,2.45,1.0,22.611,0.137,0.884,13.341,1.721,3.065,1.46
2018/11/16_22:28:30,0.031371,0.031374,0.031377,0.031383,0.031384,0.031397,0.031402,0.031411,0.031419,0.03142,0.137,7.516,33.215,0.596,2.548,0.176,0.636,0.2,10.0,0.04
2018/11/16_22:29:00,0.031358,0.03136,0.031373,0.031391,0.031394,0.031404,0.031417,0.031419,0.03142,0.03143,2.45,1.0,1.72,20.0,0.818,0.594,0.636,10.0,0.04,0.036
2018/11/16_22:29:30,0.031358,0.03136,0.031382,0.031391,0.031396,0.031398,0.031409,0.031416,0.031418,0.03144,2.45,11.0,1.719,9.946,8.517,7.751,2.594,0.636,7.57,6.156
2018/11/16_22:30:00,0.031323,0.031329,0.03134,0.031362,0.031363,0.031398,0.031399,0.031401,0.031403,0.031406,0.366,6.308,1.317,38.0,2.547,5.091,10.0,38.092,6.116,1.721
2018/11/16_22:30:30,0.03137,0.031372,0.031376,0.031377,0.031378,0.031386,0.031387,0.031399,0.031403,0.031408,0.129,7.519,5.597,0.918,10.375,2.942,0.397,10.0,6.116,1.721
2018/11/16_22:31:00,0.031336,0.03134,0.031362,0.031377,0.031378,0.031387,0.031399,0.031403,0.031409,0.03141,15.933,1.317,11.0,0.883,0.818,0.028,10.0,6.116,1.721,0.136
2018/11/16_22:31:30,0.031301,0.031323,0.031335,0.031362,0.031363,0.031379,0.03138,0.031381,0.031382,0.031386,26.67,0.366,10.04,11.0,2.549,0.101,28.0,5.0,13.91,10.0
2018/11/16_22:32:00,0.031325,0.031335,0.031362,0.031365,0.031366,0.031377,0.031378,0.031398,0.03141,0.031438,26.434,10.04,9.549,7.348,0.907,0.178,9.826,1.721,0.136,2.5
2018/11/16_22:32:30,0.031335,0.031362,0.031365,0.031366,0.031367,0.031375,0.031376,0.031378,0.031397,0.03141,10.04,9.549,0.043,2.549,7.527,7.124,15.051,9.826,1.721,0.136
2018/11/16_22:33:00,0.031335,0.031362,0.031365,0.031366,0.031369,0.031375,0.031378,0.031398,0.03141,0.031432,10.04,9.549,0.043,2.549,7.383,14.955,9.826,1.721,0.136,2.069
2018/11/16_22:33:30,0.031335,0.031362,0.031365,0.031366,0.031369,0.031373,0.031374,0.031378,0.031398,0.03141,10.04,9.549,0.043,2.549,3.444,12.736,2.136,9.826,1.721,0.136
2018/11/16_22:34:00,0.031324,0.031335,0.031362,0.031365,0.031366,0.031372,0.031373,0.031378,0.031397,0.03141,15.937,10.04,9.549,0.043,0.623,0.408,8.736,9.826,1.721,0.136
2018/11/16_22:34:30,0.031362,0.031363,0.031366,0.031367,0.031368,0.031371,0.031378,0.031395,0.03141,0.031435,8.969,2.484,47.884,5.92,0.706,10.173,9.826,1.721,0.136,1.138
2018/11/16_22:35:00,0.031357,0.031362,0.031366,0.031368,0.031369,0.031377,0.031378,0.031399,0.0314,0.03141,4.458,8.969,44.998,6.897,1.842,2.358,9.744,1.721,0.042,0.136
2018/11/16_22:35:30,0.031362,0.031366,0.031369,0.031371,0.031372,0.031375,0.031377,0.031378,0.031398,0.0314,8.969,44.998,0.684,7.525,11.0,10.035,1.716,9.744,1.721,0.042
2018/11/16_22:36:00,0.031362,0.031366,0.031367,0.031368,0.031369,0.031377,0.031378,0.0314,0.03141,0.031435,8.969,27.586,6.0,14.0,2.358,1.05,8.432,1.763,0.136,1.138
2018/11/16_22:36:30,0.031357,0.031362,0.031366,0.031367,0.031368,0.031376,0.031377,0.031378,0.031398,0.031399,4.458,8.969,7.254,1.054,5.07,0.637,2.358,7.721,3.347,1.721
2018/11/16_22:37:00,0.031335,0.031345,0.031352,0.031353,0.031355,0.031369,0.031376,0.031378,0.031396,0.0314,10.075,4.617,4.66,10.0,1.787,3.023,0.637,7.721,3.347,0.042
2018/11/16_22:37:30,0.031353,0.031354,0.031355,0.031356,0.031357,0.031364,0.031365,0.031366,0.03137,0.031378,9.041,7.519,2.359,27.0,1.349,8.728,4.737,0.379,4.057,7.721
2018/11/16_22:38:00,0.031345,0.031346,0.031353,0.031354,0.031355,0.031359,0.031365,0.031366,0.031378,0.031384,4.617,4.66,9.041,7.519,0.5,7.266,4.737,0.379,7.721,3.348
2018/11/16_22:38:30,0.031323,0.031335,0.031336,0.031338,0.031339,0.031346,0.031364,0.031368,0.031378,0.031383,0.366,0.035,12.36,4.0,39.0,362.03,0.379,1.723,7.721,3.348
2018/11/16_22:39:00,0.031335,0.031339,0.031341,0.031344,0.031356,0.031363,0.031364,0.031365,0.031378,0.031385,0.035,10.0,101.0,2.359,5.071,7.624,0.379,1.138,7.721,1.722
2018/11/16_22:39:30,0.031335,0.031341,0.031344,0.031348,0.031356,0.031362,0.031363,0.031364,0.031378,0.031385,0.035,10.0,2.359,5.623,2.757,1.138,7.377,0.379,7.721,5.07
2018/11/16_22:40:00,0.031323,0.031341,0.031348,0.031349,0.031358,0.031361,0.031362,0.031363,0.031378,0.031385,0.366,10.0,5.623,2.359,2.71,0.085,1.138,7.377,7.721,3.348
2018/11/16_22:40:30,0.031348,0.03135,0.031353,0.031359,0.03136,0.031363,0.031378,0.031385,0.031386,0.03141,5.623,12.0,2.359,0.128,0.27,3.796,7.721,3.348,1.722,0.136
2018/11/16_22:41:00,0.031341,0.031348,0.031355,0.03136,0.031361,0.031373,0.031376,0.031378,0.031391,0.031393,10.0,5.623,10.0,1.393,1.551,1.54,26.0,7.638,3.348,1.722
2018/11/16_22:41:30,0.031324,0.031341,0.031348,0.031355,0.031356,0.031365,0.031366,0.031376,0.031378,0.031388,15.938,10.0,5.623,8.389,0.699,6.833,0.699,18.0,7.638,3.348
2018/11/16_22:42:00,0.031348,0.031355,0.031358,0.03136,0.031361,0.031375,0.031376,0.031378,0.031386,0.031387,5.623,8.389,14.0,2.189,2.167,2.376,15.801,7.638,3.348,1.722
2018/11/16_22:42:30,0.031341,0.031348,0.031355,0.031359,0.03136,0.031371,0.031372,0.031395,0.03141,0.03142,10.0,5.623,8.389,1.797,2.167,0.84,10.0,5.068,0.136,1.082
2018/11/16_22:43:00,0.031345,0.031349,0.031351,0.031353,0.031354,0.031369,0.03137,0.031372,0.031391,0.03141,4.26,41.525,0.444,27.0,4.334,7.099,7.665,10.0,3.348,0.136
2018/11/16_22:43:30,0.031311,0.031323,0.031324,0.031329,0.03133,0.031353,0.031354,0.031356,0.031363,0.031365,0.04,0.366,15.938,4.0,2.168,0.163,10.379,4.066,10.0,11.021
2018/11/16_22:44:00,0.03131,0.031311,0.031323,0.031328,0.031329,0.03135,0.031351,0.031369,0.031371,0.031372,10.006,0.04,0.366,2.085,2.105,8.29,10.0,20.308,24.265,10.0
2018/11/16_22:44:30,0.03131,0.031311,0.031323,0.031341,0.031342,0.03135,0.031351,0.031369,0.031372,0.031406,10.006,0.04,0.366,0.948,0.263,1.025,5.578,20.308,10.0,24.238
2018/11/16_22:45:00,0.031309,0.03131,0.031312,0.031328,0.031329,0.031338,0.031342,0.031344,0.031346,0.031368,0.261,9.164,10.0,0.736,2.169,5.159,10.0,37.0,8.098,24.268
2018/11/16_22:45:30,0.031309,0.03131,0.031312,0.031329,0.031331,0.03134,0.031341,0.031342,0.031368,0.031369,0.261,9.164,10.0,0.794,2.169,1.0,1.025,8.545,24.268,20.308
2018/11/16_22:46:00,0.031327,0.031334,0.031335,0.031338,0.031339,0.031347,0.031348,0.031369,0.031372,0.031404,5.292,0.319,10.0,2.169,6.741,0.055,4.795,20.308,10.0,24.462
2018/11/16_22:46:30,0.031327,0.031334,0.031335,0.03134,0.031346,0.03136,0.031363,0.031369,0.031372,0.031404,5.292,0.319,10.0,5.0,1.83,2.943,1.304,20.304,10.0,24.462
2018/11/16_22:47:00,0.031331,0.031333,0.031334,0.031335,0.031336,0.031346,0.031347,0.031353,0.031362,0.031366,5.385,0.035,0.319,7.608,0.484,0.478,1.299,0.637,0.701,0.588
2018/11/16_22:47:30,0.031281,0.031287,0.031309,0.03131,0.031323,0.031334,0.031335,0.031337,0.031339,0.03134,15.959,0.366,0.261,9.164,9.839,8.144,2.247,37.0,55.0,1.375
2018/11/16_22:48:00,0.031287,0.031309,0.03131,0.031311,0.031315,0.031326,0.031327,0.03133,0.031333,0.031362,0.366,0.261,7.217,12.8,12.234,1.982,0.004,49.892,10.0,0.701
2018/11/16_22:48:30,0.031309,0.03131,0.031311,0.031319,0.031323,0.03133,0.031333,0.031362,0.031366,0.031368,0.261,7.217,12.8,10.0,1.098,47.37,8.73,0.701,0.588,24.49
2018/11/16_22:49:00,0.031309,0.03131,0.031319,0.03132,0.031321,0.031329,0.03133,0.031333,0.031362,0.031366,0.261,7.217,9.83,2.234,5.0,2.145,13.744,8.73,0.701,0.588
2018/11/16_22:49:30,0.031311,0.031312,0.031314,0.031316,0.031317,0.031359,0.03136,0.031361,0.031362,0.031366,10.0,58.0,59.0,1.427,2.234,4.0,10.807,10.0,0.701,0.588
2018/11/16_22:50:00,0.031262,0.031263,0.031268,0.031271,0.031272,0.031273,0.031274,0.031279,0.031281,0.031288,0.036,0.099,10.0,0.119,0.023,63.308,1.689,10.0,4.846,10.0
2018/11/16_22:50:30,0.031263,0.031268,0.031271,0.031272,0.031274,0.031279,0.031281,0.031288,0.031293,0.031294,0.099,10.0,0.475,10.051,4.795,6.584,4.846,10.0,2.61,0.1
2018/11/16_22:51:00,0.031263,0.031268,0.031272,0.031277,0.031278,0.031286,0.031287,0.031288,0.031293,0.031294,0.099,10.0,10.051,10.0,1.036,0.117,0.118,4.513,2.61,0.1
