timestamp,lowPrice,bidPrice,lastPrice,askPrice,highPrice,weightedAvgPrice,priceChangePercent,bidQty,lastQty,askQty,volume
2018/11/16_22:21:00,0.0312,0.031369,0.031369,0.031378,0.032197,0.03165254,-1.849,0.982,1.0,6.067,171832.726
2018/11/16_22:21:30,0.0312,0.031371,0.031371,0.031377,0.032197,0.03165244,-1.834,3.875,0.782,8.847,171837.633
2018/11/16_22:22:00,0.0312,0.031374,0.031377,0.031384,0.032197,0.03165235,-1.803,2.421,0.693,2.42,171840.531
2018/11/16_22:22:30,0.0312,0.031375,0.031376,0.031384,0.032197,0.03165225,-1.821,7.344,1.741,1.619,171839.387
2018/11/16_22:23:00,0.0312,0.031377,0.031377,0.031382,0.032197,0.03165213,-1.861,3.773,1.472,0.752,171838.933
2018/11/16_22:23:30,0.0312,0.031373,0.03138,0.031381,0.032197,0.03165202,-1.855,6.0,1.007,5.8,171830.026
2018/11/16_22:24:00,0.0312,0.031359,0.031379,0.031382,0.032197,0.03165186,-1.876,2.485,0.111,5.088,171813.092
2018/11/16_22:24:30,0.0312,0.031369,0.031377,0.031377,0.032197,0.03165174,-1.84,35.485,3.919,0.058,171796.352
2018/11/16_22:25:00,0.0312,0.031385,0.031385,0.031389,0.032197,0.03165163,-1.833,0.378,0.76,2.485,171797.951
2018/11/16_22:25:30,0.0312,0.031388,0.031386,0.031395,0.032197,0.0316515,-1.802,0.587,0.142,7.079,171824.835
2018/11/16_22:26:00,0.0312,0.031387,0.03141,0.031405,0.032197,0.03165139,-1.702,2.483,0.045,5.821,171831.381
2018/11/16_22:26:30,0.0312,0.031371,0.031376,0.031383,0.032197,0.03165112,-1.824,4.97,2.414,1.295,171760.89
2018/11/16_22:27:00,0.0312,0.031368,0.031375,0.031375,0.032197,0.03165087,-1.803,10.0,1.71,17.764,171695.742
2018/11/16_22:27:30,0.0312,0.031358,0.031357,0.031374,0.032197,0.03165072,-1.924,10.0,0.387,11.229,171727.636
2018/11/16_22:28:00,0.0312,0.031372,0.031375,0.031375,0.032197,0.03165054,-1.747,1.056,1.146,14.487,171694.9
2018/11/16_22:28:30,0.0312,0.031384,0.031393,0.031397,0.032197,0.03165039,-1.685,2.548,0.23,0.176,171711.37
2018/11/16_22:29:00,0.0312,0.031394,0.031394,0.031404,0.032197,0.03165025,-1.725,0.818,0.223,0.594,171680.851
2018/11/16_22:29:30,0.0312,0.031396,0.031398,0.031398,0.032197,0.03165011,-1.718,8.517,0.977,7.751,171679.269
2018/11/16_22:30:00,0.0312,0.031363,0.031403,0.031399,0.032197,0.03164966,-1.718,2.547,12.884,10.0,171890.787
2018/11/16_22:30:30,0.0312,0.031378,0.031378,0.031386,0.032197,0.03164956,-1.784,10.662,0.789,2.942,171906.566
2018/11/16_22:31:00,0.0312,0.031378,0.031383,0.031387,0.032197,0.03164947,-1.762,0.818,0.428,0.028,171897.75
2018/11/16_22:31:30,0.0312,0.031378,0.031378,0.031381,0.032197,0.03164935,-1.803,1.235,0.14,5.0,171874.678
2018/11/16_22:32:00,0.0312,0.031366,0.031366,0.031377,0.032197,0.0316492,-1.849,2.549,1.642,0.178,171895.357
2018/11/16_22:32:30,0.0312,0.031367,0.031372,0.031375,0.032197,0.03164901,-1.84,7.527,1.855,7.124,171822.556
2018/11/16_22:33:00,0.0312,0.031371,0.031371,0.031375,0.032197,0.03164882,-1.843,1.642,1.642,15.048,171792.702
2018/11/16_22:33:30,0.0312,0.031369,0.031371,0.031373,0.032197,0.03164867,-1.852,3.444,2.305,15.048,171743.277
2018/11/16_22:34:00,0.0312,0.031366,0.031372,0.031371,0.032197,0.03164851,-1.852,0.623,0.128,1.348,171706.862
2018/11/16_22:34:30,0.0312,0.031368,0.031368,0.031371,0.032197,0.03164834,-1.852,0.77,0.191,10.173,171676.906
2018/11/16_22:35:00,0.0312,0.031369,0.031376,0.031377,0.032197,0.03164791,-1.858,1.842,1.822,2.358,171509.446
